2023-2024
Position,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,Man City,38,28,7,3,96,34,62,91
2,Arsenal,38,28,5,5,91,29,62,89
3,Liverpool,38,24,10,4,86,41,45,82
4,Aston Villa,38,20,8,10,76,61,15,68
5,Tottenham,38,20,6,12,74,61,13,66
6,Chelsea,38,18,9,11,77,63,14,63
7,Newcastle,38,18,6,14,85,62,23,60
8,Man Utd,38,18,6,14,57,58,-1,60
9,West Ham,38,14,10,14,60,74,-14,52
10,Crystal Palace,38,13,10,15,57,58,-1,49
11,Brighton,38,12,12,14,55,62,-7,48
12,Bournemouth,38,13,9,16,54,67,-13,48
13,Fulham,38,13,8,17,55,61,-6,47
14,Wolves,38,13,7,18,50,65,-15,46
15,Everton,38,13,9,16,40,51,-11,40
16,Brentford,38,10,9,19,56,65,-9,39
17,Nottm Forest,38,9,9,20,49,67,-18,32
18,Luton,38,6,8,24,52,85,-33,26
19,Burnley,38,5,9,24,41,78,-37,24
20,Sheff Utd,38,3,7,28,35,104,-69,16

2022-2023
Position,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,Man City,38,28,5,5,94,33,61,89
2,Arsenal,38,26,6,6,88,43,45,84
3,Man Utd,38,23,6,9,58,43,15,75
4,Newcastle,38,19,14,5,68,33,35,71
5,Liverpool,38,19,10,9,75,47,28,67
6,Brighton,38,18,8,12,72,53,19,62
7,Aston Villa,38,18,7,13,51,46,5,61
8,Tottenham,38,18,6,14,70,63,7,60
9,Brentford,38,15,14,9,58,46,12,59
10,Fulham,38,15,7,16,55,53,2,52
11,Crystal Palace,38,11,12,15,40,49,-9,45
12,Chelsea,38,11,11,16,38,47,-9,44
13,Wolves,38,11,8,19,31,58,-27,41
14,West Ham,38,11,7,20,42,55,-13,40
15,Bournemouth,38,11,6,21,37,71,-34,39
16,Nottm Forest,38,9,11,18,38,68,-30,38
17,Everton,38,8,12,18,34,57,-23,36
18,Leicester,38,9,7,22,51,68,-17,34
19,Leeds,38,7,10,21,48,78,-30,31
20,Southampton,38,6,7,25,36,73,-37,25

2021-2022
Position,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,Man City,38,29,6,3,99,26,73,93
2,Liverpool,38,28,8,2,94,26,68,92
3,Chelsea,38,21,11,6,76,33,43,74
4,Tottenham,38,22,5,11,69,40,29,71
5,Arsenal,38,22,3,13,61,48,13,69
6,Man Utd,38,16,10,12,57,57,0,58
7,West Ham,38,16,8,14,60,51,9,56
8,Leicester,38,14,10,14,62,59,3,52
9,Brighton,38,12,15,11,42,44,-2,51
10,Wolves,38,15,6,17,38,43,-5,51
11,Newcastle,38,13,10,15,44,62,-18,49
12,Crystal Palace,38,11,15,12,50,46,4,48
13,Brentford,38,13,7,18,48,56,-8,46
14,Aston Villa,38,13,6,19,52,54,-2,45
15,Southampton,38,9,13,16,43,67,-24,40
16,Everton,38,11,6,21,43,66,-23,39
17,Leeds,38,9,11,18,42,79,-37,38
18,Burnley,38,7,14,17,34,53,-19,35
19,Watford,38,6,5,27,34,77,-43,23
20,Norwich,38,5,7,26,23,84,-61,22

2020-2021
Position,Team,Played,Won,Drawn,Lost,GF,GA,GD,Points
1,Man City,38,27,5,6,83,32,51,86
2,Man Utd,38,21,11,6,73,44,29,74
3,Liverpool,38,20,9,9,68,42,26,69
4,Chelsea,38,19,10,9,58,36,22,67
5,Leicester,38,20,6,12,68,50,18,66
6,West Ham,38,19,8,11,62,47,15,65
7,Tottenham,38,18,8,12,68,45,23,62
8,Arsenal,38,18,7,13,55,39,16,61
9,Leeds,38,18,5,15,62,54,8,59
10,Everton,38,17,8,13,47,48,-1,59
11,Aston Villa,38,16,7,15,55,46,9,55
12,Newcastle,38,12,9,17,46,62,-16,45
13,Wolves,38,12,9,17,36,52,-16,45
